Day;min;max;mean;month
1;7,9;15;11,45;1
2;7,8;11,6;9,7;1
3;10,6;15,6;13,1;1
4;11,9;14,7;13,3;1
5;8,7;14,9;11,8;1
6;7,4;14,6;11;1
7;7,9;14,7;11,3;1
8;7,5;14,8;11,15;1
9;7,3;12,4;9,85;1
10;9,8;12,6;11,2;1
11;7,7;14,3;11;1
12;8,2;13,9;11,05;1
13;9,5;16,5;13;1
14;9,3;12,6;10,95;1
15;8;15,7;11,85;1
16;7,3;12,6;9,95;1
17;10,1;14,4;12,25;1
18;12,4;16,3;14,35;1
19;13,3;16,4;14,85;1
20;9,9;14,5;12,2;1
21;9,3;13,9;11,6;1
22;8,2;13,3;10,75;1
23;8,4;11,8;10,1;1
24;7,9;12,1;10;1
25;6,5;12,7;9,6;1
26;5;9,8;7,4;1
27;4,3;8,9;6,6;1
28;6;12,1;9,05;1
29;6;12,8;9,4;1
30;11,1;15;13,05;1
31;12,3;15,9;14,1;1
1;11,7;16,9;14,3;2
2;11,7;13,2;12,45;2
3;10,3;13,2;11,75;2
4;9,1;11,4;10,25;2
5;8,7;14;11,35;2
6;9;14,5;11,75;2
7;7,7;15,2;11,45;2
8;10,7;15,4;13,05;2
9;9,6;14,4;12;2
10;9,2;14,7;11,95;2
11;10,7;17,3;14;2
12;9,1;15,8;12,45;2
13;7,4;14,8;11,1;2
14;10,4;16,7;13,55;2
15;8,9;15,6;12,25;2
16;10,2;18,3;14,25;2
17;12,6;18;15,3;2
18;13,3;21;17,15;2
19;11,8;17,6;14,7;2
20;11,4;14,6;13;2
21;10,1;16,5;13,3;2
22;9,2;15,2;12,2;2
23;7,4;15;11,2;2
24;7,2;14,7;10,95;2
25;6,8;14,9;10,85;2
26;7,2;16;11,6;2
27;9,3;14,7;12;2
28;7,5;13,5;10,5;2
29;---;---;;2
30;---;---;;2
31;---;---;;2
1;4,8;11,4;8,1;3
2;5,2;10,7;7,95;3
3;4,9;14,3;9,6;3
4;6,6;13,8;10,2;3
5;7;15,7;11,35;3
6;9,4;16,3;12,85;3
7;10,2;17;13,6;3
8;9,2;15,7;12,45;3
9;9,6;17,9;13,75;3
10;10,5;13,4;11,95;3
11;9,1;14,4;11,75;3
12;8,5;16,8;12,65;3
13;8,3;17,8;13,05;3
14;9,7;18,1;13,9;3
15;10,5;16,9;13,7;3
16;9,2;16,9;13,05;3
17;10,5;17,9;14,2;3
18;10,8;18;14,4;3
19;10;18;14;3
20;10,7;21,8;16,25;3
21;11;18,9;14,95;3
22;12,5;19,1;15,8;3
23;10,9;17,4;14,15;3
24;6,9;13;9,95;3
25;5,7;12,6;9,15;3
26;6,7;14,5;10,6;3
27;8,3;12,4;10,35;3
28;8,7;17;12,85;3
29;9,4;19,5;14,45;3
30;11,3;20,3;15,8;3
31;10;19,1;14,55;3
1;10;17,5;13,75;4
2;10,1;17,5;13,8;4
3;10,7;19,3;15;4
4;12;18,9;15,45;4
5;11,8;19,9;15,85;4
6;12,2;19,9;16,05;4
7;12,3;21,2;16,75;4
8;12,9;19,7;16,3;4
9;13,7;19,9;16,8;4
10;11,6;19,9;15,75;4
11;9,9;18,2;14,05;4
12;12,7;19,7;16,2;4
13;13,1;20,2;16,65;4
14;11,5;19,1;15,3;4
15;8,2;20,9;14,55;4
16;7,5;16,5;12;4
17;7,4;17;12,2;4
18;8,1;16,7;12,4;4
19;10,6;15,9;13,25;4
20;13;19,3;16,15;4
21;13,7;22,1;17,9;4
22;13,4;22,8;18,1;4
23;13,9;19,2;16,55;4
24;12;21,5;16,75;4
25;13,2;20,4;16,8;4
26;13,8;21,4;17,6;4
27;11,8;18,1;14,95;4
28;10,8;18,4;14,6;4
29;10,4;17,5;13,95;4
30;11,3;19,2;15,25;4
31;---;---;;4
1;10,5;19,3;14,9;5
2;11,7;19,3;15,5;5
3;10,5;18,1;14,3;5
4;10,9;19;14,95;5
5;10,8;19,1;14,95;5
6;11,8;19,8;15,8;5
7;13,7;20,8;17,25;5
8;12,3;20,4;16,35;5
9;13,6;21,5;17,55;5
10;15,5;22,8;19,15;5
11;15,8;22,6;19,2;5
12;15;22,8;18,9;5
13;14,2;21,8;18;5
14;11,5;22,9;17,2;5
15;11,8;21,1;16,45;5
16;12,6;20,8;16,7;5
17;12,4;21,1;16,75;5
18;12,3;22,1;17,2;5
19;15,4;22;18,7;5
20;14,5;22,8;18,65;5
21;15,3;26,6;20,95;5
22;16,4;25,5;20,95;5
23;18,4;24,7;21,55;5
24;17,4;25;21,2;5
25;17,5;29,3;23,4;5
26;16,4;24,7;20,55;5
27;14,8;22,3;18,55;5
28;13,9;22,3;18,1;5
29;14,7;23,6;19,15;5
30;14,3;23,3;18,8;5
31;14,6;23,9;19,25;5
1;14,1;22,9;18,5;6
2;13,3;25,8;19,55;6
3;15,2;26,3;20,75;6
4;16,2;25,5;20,85;6
5;15,5;24,2;19,85;6
6;15,7;25,3;20,5;6
7;17,4;28,1;22,75;6
8;18,7;31;24,85;6
9;20,8;33,1;26,95;6
10;20,6;32,7;26,65;6
11;19,3;29,9;24,6;6
12;20,1;30,9;25,5;6
13;19,7;29,4;24,55;6
14;19;28,6;23,8;6
15;18,7;28,3;23,5;6
16;14,5;22,1;18,3;6
17;16,8;25,5;21,15;6
18;17,7;25,8;21,75;6
19;17,9;25,6;21,75;6
20;16,1;25,7;20,9;6
21;17,8;25,6;21,7;6
22;18,2;25,6;21,9;6
23;19,6;27,8;23,7;6
24;19,2;31,7;25,45;6
25;20,8;26,8;23,8;6
26;20;26,7;23,35;6
27;19,3;27,2;23,25;6
28;20,9;27,5;24,2;6
29;20,4;28,2;24,3;6
30;20,8;25,5;23,15;6
31;---;---;;6
1;19,9;26,7;23,3;7
2;19,2;26,5;22,85;7
3;19,3;29,2;24,25;7
4;21,9;31,5;26,7;7
5;21,4;29,5;25,45;7
6;21,1;28,5;24,8;7
7;21,3;29,7;25,5;7
8;20,2;27;23,6;7
9;18,5;26,4;22,45;7
10;15,5;23,5;19,5;7
11;14,6;25;19,8;7
12;17,5;25,8;21,65;7
13;17,5;24,5;21;7
14;18,2;26,1;22,15;7
15;17,1;25,6;21,35;7
16;19,4;28,1;23,75;7
17;20,2;29,5;24,85;7
18;19,8;29,7;24,75;7
19;20,8;30,2;25,5;7
20;21,4;30,6;26;7
21;20,6;28,1;24,35;7
22;18,2;24,3;21,25;7
23;18,6;26,9;22,75;7
24;21,1;27,7;24,4;7
25;20,2;27,5;23,85;7
26;20,9;26,2;23,55;7
27;20,9;27,9;24,4;7
28;19,9;27,8;23,85;7
29;20,3;28,2;24,25;7
30;19,3;25,2;22,25;7
31;17,9;27,4;22,65;7
1;20,3;28,1;24,2;8
2;21,8;28,3;25,05;8
3;21,7;28,7;25,2;8
4;20,9;30;25,45;8
5;21;28,9;24,95;8
6;20,9;29,6;25,25;8
7;21,8;29,5;25,65;8
8;20,9;29,2;25,05;8
9;21,5;28,3;24,9;8
10;21,7;30,8;26,25;8
11;21,2;31,2;26,2;8
12;21,6;30,2;25,9;8
13;21,8;30,7;26,25;8
14;20,6;29;24,8;8
15;19,3;28,3;23,8;8
16;19,3;28,7;24;8
17;19,6;28;23,8;8
18;18,9;27,5;23,2;8
19;19,9;28,1;24;8
20;21,5;29;25,25;8
21;22,6;29,9;26,25;8
22;21,6;27,9;24,75;8
23;20,6;28,7;24,65;8
24;19,9;26,4;23,15;8
25;18,9;27,4;23,15;8
26;19,8;26,8;23,3;8
27;20;28,1;24,05;8
28;21,2;29,5;25,35;8
29;21,4;30,6;26;8
30;21,8;29,4;25,6;8
31;20,9;29,5;25,2;8
1;18,6;25,7;22,15;9
2;17,5;27,3;22,4;9
3;18,7;26,4;22,55;9
4;18,3;27,9;23,1;9
5;19,3;28;23,65;9
6;19,7;26,4;23,05;9
7;18,8;27;22,9;9
8;20;28,3;24,15;9
9;19,8;27;23,4;9
10;20;28,7;24,35;9
11;18,2;24,6;21,4;9
12;19,5;26,7;23,1;9
13;18,8;26;22,4;9
14;17,9;26,5;22,2;9
15;18;26,4;22,2;9
16;19;27,1;23,05;9
17;18,5;28,1;23,3;9
18;19,3;29;24,15;9
19;22,4;28,8;25,6;9
20;22,3;30,5;26,4;9
21;22;29,8;25,9;9
22;21,7;27,6;24,65;9
23;19,8;25,7;22,75;9
24;18,3;25,9;22,1;9
25;18,1;26,5;22,3;9
26;17,5;26,3;21,9;9
27;16,8;25,5;21,15;9
28;17,2;26,3;21,75;9
29;16,8;26;21,4;9
30;16,5;25,1;20,8;9
31;---;---;;9
1;17,2;25;21,1;10
2;18,8;23,4;21,1;10
3;17,6;26,2;21,9;10
4;16,6;26,8;21,7;10
5;17,5;27,1;22,3;10
6;17,5;25,4;21,45;10
7;16,8;25,9;21,35;10
8;17,7;25,6;21,65;10
9;17,4;26,1;21,75;10
10;17,4;26,3;21,85;10
11;17,8;26,5;22,15;10
12;18,6;26,5;22,55;10
13;19;26,5;22,75;10
14;20,9;28,1;24,5;10
15;21;28,6;24,8;10
16;20,7;26,1;23,4;10
17;19,6;27,7;23,65;10
18;18,6;26,6;22,6;10
19;18,8;27,1;22,95;10
20;17,8;25,1;21,45;10
21;17,2;25,6;21,4;10
22;12,9;23,9;18,4;10
23;10,8;19,5;15,15;10
24;11,6;19,6;15,6;10
25;13;22,1;17,55;10
26;13,6;22;17,8;10
27;13,5;21,3;17,4;10
28;14,4;21,1;17,75;10
29;12,1;21,4;16,75;10
30;12,4;21,4;16,9;10
31;12,8;21,3;17,05;10
1;11,7;20,5;16,1;11
2;12,3;20,4;16,35;11
3;11,9;21,8;16,85;11
4;14,5;21,6;18,05;11
5;18,6;21,9;20,25;11
6;18,5;22;20,25;11
7;16,1;20,5;18,3;11
8;14,9;22,7;18,8;11
9;15,4;22;18,7;11
10;15,1;21,3;18,2;11
11;16,2;20,5;18,35;11
12;14,1;19,6;16,85;11
13;12,7;19,2;15,95;11
14;12,6;20,5;16,55;11
15;13,2;18,6;15,9;11
16;12,4;19,4;15,9;11
17;11,9;18,3;15,1;11
18;12,4;18,6;15,5;11
19;12,6;19,5;16,05;11
20;11;18,7;14,85;11
21;10,2;18,3;14,25;11
22;10,5;18,5;14,5;11
23;11,8;18,9;15,35;11
24;11,5;19,1;15,3;11
25;11,1;19;15,05;11
26;13,3;16,1;14,7;11
27;12,4;18,6;15,5;11
28;12,9;20,5;16,7;11
29;17,2;20,2;18,7;11
30;17,8;22,7;20,25;11
31;---;---;;11
1;16,6;21,4;19;12
2;12,1;16,7;14,4;12
3;12,5;17;14,75;12
4;12,7;16,9;14,8;12
5;10,9;14,1;12,5;12
6;10,3;15,1;12,7;12
7;9,6;15,5;12,55;12
8;8;15,8;11,9;12
9;---;14,2;;12
10;---;15,7;;12
11;---;14,6;;12
12;7,2;15,1;11,15;12
13;8,6;15,6;12,1;12
14;12,6;15,5;14,05;12
15;12,6;16,4;14,5;12
16;9,8;15,2;12,5;12
17;10;15,8;12,9;12
18;9,9;17,5;13,7;12
19;8,4;15,2;11,8;12
20;---;14,9;;12
21;---;16,2;;12
22;---;15;;12
23;7,6;15,2;11,4;12
24;9,9;14,4;12,15;12
25;10;13,1;11,55;12
26;7,4;14,8;11,1;12
27;5,4;---;;12
28;5,7;---;;12
29;2,6;9,4;6;12
30;-1,5;5;1,75;12
31;-1,2;6,7;2,75;12
